key,original_en,translation,context
Common_P_Attitude,Affinity:,,好感：
Common_Btn_Attitude,Positive Attitude Reaches:,,正面态度达到：
Common_Teach_Condition,This Skill requires Guru,,此绝学需进阶至大成境界
Common_Teach_Ability_Condition,This Ability requires {0},,此能力需进阶至{0}境界
Common_Take,Claim,,领取
Common_Cure_SomeOne,You cured {0},,你对{0}进行了治疗
Common_Forgive_SomeOne,You showed {0} mercy,,你饶恕了{0}
Common_Teach_SomeOne,You taught {0},,你对{0}进行了传授
Common_Alms_SomeOne,You offered some items to {0},,你施舍了一些物品给{0}
Common_Cripple_SomeOne,You crippled {0},,你打残了{0}
Common_Abolish_SomeOne,You destroyed {0}'s Kungfu,,你废除了{0}的武功
Common_TakeHead_SomeOne,"Due to your Stained aura, the word got out that you took {0}'s head",,你的染血气息过于浓重，你拿取{0}首级的消息走漏了风声
Common_Kill_SomeOne_InCombat,You executed {0},,你对{0}痛下狠手
Common_Grab_SomeOne,You were spotted looting {0} and the word spread,,你对{0}搜刮被人目击，消息被传播开来
Common_Attitude_Up,Affinity Up,,对你的好感增加了
Common_Attitude_Down,Affinity Down,,对你的好感降低了
Common_Relation_Apply_300,{0} and {1} started a Feud,,{0}与{1}结为深仇大恨关系
Common_Relation_Apply_302,{0} and {1} started a Grudge,,{0}与{1}结为结下梁子关系
Common_Relation_Apply,{0} and {1} started a Feud,,{0}与{1}结为深仇大恨关系
Common_Attitude_Up_1,{0}'s Affinity to {1} went up,,{0}对{1}的好感增加了
Common_Attitude_Down_1,{0}'s Affinity to {1} went down,,{0}对{1}的好感降低了
Common_Spread_Msg_Tips,Spread this news?,,确认是否传播此消息？
Common_AI_Cur,Currently,,此刻在
Common_overseas,Overseas,,海外
Common_Say_Hi,Greet,,打招呼
Common_Command,Team up,,组队
Common_Not_Comprehend,Not acquired,,未领悟
Common_Monster_Name_1,Sr.,,大
Common_Monster_Name_2,Jr.,,二
Common_Monster_Name_3,III,,三
Common_Monster_Name_4,IV,,四
Common_Monster_Name_5,V,,五
Common_Monster_Name_6,VI,,六
Common_Monster_Name_7,VII,,七
Common_Monster_Name_8,VIII,,八
Common_Monster_Name_9,IX,,九
Common_Monster_Name_10,X,,十
Common_Monster_Name_11,XI,,十一
Common_Half,Half,,一半
Common_Unknown,Unknown,,未知
Common_Fabricator,(Made-up),,（我捏造的）
Common_AttiToMe,Affinity,,好感
Common_Specialties,Specialties,,资源特产
Common_MapTag,Mark Location,,标记位置
Common_Position,Location,,位置
Common_SplitEquip,Decompose equipment,,分解装备
Common_Other_Taget,The Other Person,,对方
Common_Leave,Leave,,离开
Common_Empty_Pos,Vacant Seat,,空位
Common_Input_XiuWei,Instill Kungfu Insight,,灌注武学心得
Common_Recycle,Retrieve,,取出
Common_Captive,Corral,,圈养
Common_Love_Title,Share a bed and dreams,,同床共枕
Common_Food,food,,食物
Common_Human_Num,{0},,{0}人
Common_In_Operating,Open,,经营中
Common_Free,[Free],,【免费】
Common_Value_Max,<ArguNameMax>（The upper limit）</>,,<ArguNameMax>（已达上限）</>
Common_Store_Atk,（Have been stored <ArguNum>{0}</> saliva）,,（已存储 <ArguNum>{0}</> 口水）
Common_Allow,Allow,,允许
Common_Reject,Reject,,拒绝
Common_Blow_Up,enlarge,,放大
Common_Lessen,Show,,缩小
Common_Select,choose,,选择
Common_Add_Attact,{0} increase {1},,{0}增加{1}
Common_Btn_Unlock,Unlock,,解锁
Common_Btn_Item,Crafting,,制作
Common_Btn_Equip,Weave,,织造
Common_Btn_Weapon,Forge,,锻造
Common_Btn_Cook,Cooking,,烹饪
Common_Switch_Unlock,Unlock,,解锁
Common_Switch_Lock,Lock,,锁定
Common_Paper_Item,Craft Formula,,制作配方
Common_Paper_Equip,Weave Formula,,织造配方
Common_Paper_Weapon,Forge Formula,,锻造配方
Common_Paper_Cook,Cooking Formula,,烹饪配方
Black_Desc_Gong_Ren,"{0} The screen gas is condensed, the hands are swords, and after a thunder that sounds through the sky, {1} has become incomplete person ...",,{0}屏气凝神，手起刀落，一阵响彻云霄的雷声过后，{1}成为了不全人……
call_desc_gender_0,Warrior,,少侠
call_desc_gender_1,Warrior,,女侠
call_desc_1,You,,你
call_desc_good_2_1,Dad,,爹爹
call_desc_good_2_2,Papa,,阿爷
call_desc_good_2_3,Pops,,阿爹
call_desc_good_2_4,Father,,父亲
call_desc_good_3_1,Mother,,母亲
call_desc_good_3_2,Mum,,阿妈
call_desc_good_3_3,Ma,,阿娘
call_desc_good_4_1,Darling,,夫君
call_desc_good_4_2,Sweetheart,,夫婿
call_desc_good_4_3,Dearest,,郎君
call_desc_good_4_4,Love,,官人
call_desc_good_4_5,My Lord,,老爷
call_desc_good_5_1,My Lady,,夫人
call_desc_good_5_2,Dearest,,娘子
call_desc_good_5_3,Sweetheart,,媳妇
call_desc_good_5_4,Love,,爱妻
call_desc_good_6_1,Brother,,兄长
call_desc_good_6_2,Brother,,哥哥
call_desc_good_6_3,Bro,,哥
call_desc_good_7_1,Little brother,,弟弟
call_desc_good_7_2,Lil bro,,爱弟
call_desc_good_8_1,Sis,,阿姐
call_desc_good_8_2,Sis,,阿姊
call_desc_good_9_1,Little sister,,吾妹
call_desc_good_9_2,Lil sis,,阿妹
call_desc_good_10_1,My boy,,吾儿
call_desc_good_10_2,Son,,儿郎
call_desc_good_10_3,Kiddo,,臭小子
call_desc_bad_10_1,Thankless brat,,逆子
call_desc_bad_10_2,Ungrateful brat,,不孝子
call_desc_good_11_1,Dear,,闺女
call_desc_good_11_2,Sweetie,,丫头
call_desc_good_12_1,Senior Brother,,师兄
call_desc_good_13_1,Senior Sister,,师姐
call_desc_good_14_1,Junior Brother,,师弟
call_desc_good_15_1,Junior Sister,,师妹
call_desc_good_16_1,Brother,,义兄
call_desc_bad_17_1,You jerk,,你这厮
call_desc_good_18_1,Master,,主人
call_desc_good_20_1,Darling,,亲爱的
call_desc_bad_20_1,Cheater,,负心人
combat_panel_1,Cast Zone,,释放区域
combat_panel_2,Move Counter,,克制关系
combat_panel_3,{0} release,,{0}释放
combat_change_defender_tips,Opponent switched to 「{0}」,,对手切换为「{0}」
combat_jiao_xun,Teach a lesson,,教训
combat_rao_shu,Show mercy,,饶恕
combat_ji_yun,Knock out,,击晕
combat_xia_zhong_shou,Ruthless bashing (Little Enmity),,下重手（小有结怨）
combat_fei_chu,Destroy Kungfu (Grudge),,废除武功（结下梁子）
combat_suo_yao,Demand item,,索要物品
combat_fa_jin,Collect fines {0},,拿取罚金 {0}
combat_fang_guo,Let it go (Grateful +100),,放过（感激+100）
combat_zhi_liao,Help heal (Grateful +150),,帮疗伤（感激+150）
Combat_Result_Message_0,"After some deliberation,{0} decides to knock you out",,{0}深思熟虑之后决定将你击晕
Combat_Result_Message_1,"After some deliberation,{0} decides to break your legs",,{0}深思熟虑之后决定打残你的双腿
Combat_Result_Message_2,"After some deliberation,{0} decides to destroy your Kungfu",,{0}深思熟虑之后决定废除你的武功
Combat_Result_Message_3,"After some deliberation,{0} decides to demand items from you",,{0}深思熟虑之后决定向你索要物品
Combat_Result_Message_4,"After some deliberation, {0} decides to let you go. Affinity down.",,{0}深思熟虑之后决定饶你一次，对你的好感降低了
Combat_Result_Message_5,"After some deliberation,{0} decides to heal your wounds",,{0}深思熟虑之后决定帮助你疗伤
Combat_Result_Message_7,{0} decide to take the fine,,{0}决定拿走罚金
Combat_Result_Message_8,{0} decide to fight your legs and take away the fine,,{0}决定打残你的双腿，并拿走罚金
Combat_Result_Message_9,{0} Decided to close you into the dungeon,,{0}决定将你关入地牢
Combat_Result_Message_10,{0} decide to close you into the dungeon and pierce the pipa bone,,{0}决定将你关入地牢，并刺穿琵琶骨
Combat_Result_Message_11,"{0} decide to close you into the dungeon, pierce the pipa bone, wait for the chop",,{0}决定将你关入地牢，并刺穿琵琶骨，等待问斩
Combat_target_die_message,You may kill the opponent with your attack. Apply less power and spare them?,,此次出手可能击杀对方，是否降低功力留他一命。
target_die_msg_confirm,Show mercy,,饶他一命
target_die_msg_cancel,Execute,,痛下狠手
Tianshu_Combat,Battle,,战斗
Tianshu_BUFF,Status,,状态
Tianshu_Jingmai,Meridian,,经脉
Tianshu_Facility,Facilities,,设施
Tianshu_Sect,Sect,,门派
Tianshu_Interact,Interaction,,交互
Tianshu_Tile,Land Mass,,地块
Tianshu_None,Heavenly Scrolls will be collected with your Trials. You can check them at any time when you run into problems.,,天书宝典会随着你的历练逐步收集，当遇到不会的问题时，可以随时打开查看。
Deal_Title,Exchange,,交易
Deal_My_Item,My Items,,我的物品
Deal_Other_Item,Opponent’s Items,,对方物品
Deal_My_Skill,My Skills,,我的绝学
Deal_Other_Skill,Opponent’s Skills,,对方绝学
Deal_My_Equip,My Gear,,我的装备
Deal_Other_Equip,Opponent’s Gear,,对方装备
Deal_Confirm,Confirm Exchange,,确认交易
Deal_Cancel,Cancel Exchange,,取消交易
Deal_Status_0,What do [#1you] want to exchange for?,,[#1你]想跟我交易些什么？
Deal_Status_1,Deals!,,这买卖我看行！
Deal_Status_2,That's not enough. I can't run a business at a loss!,,[#1你]给的不够啊，亏本买卖我可不做！
Deal_My_Deal_Reward,My exchange revenue,,我的交易收益
Deal_Need_Item,Required Items,,所需物品
Deal_Info_Tips,Other’s satisfaction points for the exchange,,对方本次交易的满意度
Deal_Info_Tips_1,Other’s satisfaction points for the items,,对方索要物品的满意度
Deal_Lose_Attitude,You took advantage of {0}’s Affinity toward you to profit in the Exchange. His affinity toward you has decreased. \\n{1},,你利用了{0}对你的好感在交易中牟利，他对你的好感减少了。\\n{1}
Deal_Desc,Fair Exchange,,公平交易
Deal_Alms_0,"Please, do you have something to spare?",,这位少侠，施舍我点东西吧...
Deal_Alms_1,Thank you so much! Thank you so much! !,,多谢少侠！多谢少侠！！
Deal_Balance_Tips,Click to make up the difference with Coins,,点击后用铜钱自动补齐差额
Deal_Steal_value,<Huang22>You can steal another {0} worth of items (based on Geomancy Lv.)</>,,<Huang22>根据当前奇术等级，还可偷取总价值 {0} 的物品</>
Search_Other_Item,Container Items,,容器物品
Search_Other_Skill,Container Skills,,容器绝学
Search_Other_Equip,Container Gear,,容器装备
Search_Take_All,Take All,,拿取所有
Search_Put_All,Place All,,放入所有
Search_Take_All_1,Take All {0},,拿取所有{0}
Search_Put_All_1,Place All {0},,放入所有{0}
Search_Finish,Confirm,,确定
Search_Cancel,Cancel,,取消
Item_My_Item,My Items,,我的物品
Item_Move_Item,Move Item,,移动物品
Item_Select_Item,Select Item,,选择物品
Item_Rotate_Item,Rotate Item,,旋转物品
Item_Select_Num,Select Quantity,,选择数量
Item_All_Price,Total Value,,合计价值
ZhiZuo,Produce,,制作
need_resource,Required Resources,,需要资源
ZhiGu,Make Toxin,,制蛊
item_use_btn_name_93002,Summon,,召唤
item_use_btn_name_93010,Open,,打开
place_item_desc,<ItemTipNameGray>Placing: </><ItemTipNameGreen>{0}</> <ItemTipNameGray></> <ItemTipNameGreen>{1}</> <ItemTipNameGray>Left</>,,<ItemTipNameGray>正在放置：</><ItemTipNameGreen>{0}</> <ItemTipNameGray>还有</> <ItemTipNameGreen>{1}</> <ItemTipNameGray>个</>
Item_Include_Item,Contents,,包含的物品
Demand_Desc,Crafting Requirement,,制作需求
Demand_Unlock_Desc,Unlock Requirement,,解锁需求
Skill_Up_Exp_Desc,「Kungfu Insight」 {0},,「武学心得」{0}
Skill_Up_Max_Desc,Max,,已达到当前顶级
Craft_Base_Formation,Basic Materials,,基础材料
Craft_Item_Formation,Required Materials,,所需材料
Craft_Extra_Formation,Extra Materials,,额外材料
Craft_Btn_210006,Forge,,锻造
Craft_Btn_None_210006,Insufficient Abilities. Unable to forge,,能力不足无法锻造
Craft_Btn_210009,Produce,,制作
Craft_Btn_None_210009,Insufficient Abilities. Unable to produce,,能力不足无法制作
Craft_Btn_210010,Weave,,织造
Craft_Btn_None_210010,Insufficient Abilities. Unable to weave,,能力不足无法织造
Craft_Btn_210011,Craft,,打造
Craft_Btn_None_210011,Insufficient Abilities. Unable to craft,,能力不足无法打造
Craft_My_Product,My Gear,,我的装备
craft_part_name_0,Weave Hats,,织造帽子
craft_part_name_1,Weave Clothes,,织造衣服
craft_part_name_2,Weave Pants,,织造裤子
craft_part_name_3,Forge Weapons,,锻造兵器
craft_part_name_4,Craft Concealed Weapons,,打造暗器
craft_ability_desc_0,Can use when {0} Ability is acquired,,{0}能力习得后可使用
craft_ability_desc_1,Requires {0} Ability (Beginner),,需要{0}能力·入门
craft_ability_desc_2,Requires {0} Ability (Expert),,需要{0}能力·熟练
craft_ability_desc_3,Requires {0} Ability (Veteran),,需要{0}能力·小成
craft_ability_desc_4,Requires {0} Ability (Master),,需要{0}能力·精通
craft_ability_desc_5,Requires {0} Ability (Guru),,需要{0}能力·大成
craft_ability_desc_6,Requires {0} Ability (Sage),,需要{0}能力·圆满
split_btn_text,Research,,研究
split_exp_desc,Can get Research EXP,,可获得研究经验
split_desc,Put gear in the Dismantling Research,,放入装备进行分解研究
split_desc1,Dismantle to obtain materials,,分解可获得材料
Item_get_desc,Obtain <TDName>{0}</>x{1},,获得<TDName>{0}</>x{1}
Equip_get_desc,Obtained {0} x{1},,获得{0}x{1}
Destiny_Active,Awakened,,已唤醒
Destiny_UnActive,Unawakened,,未唤醒
Destiny_Lock,Locked,,未解锁
Destiny_point,Karma Points,,天命点
Destiny_Add,Add,,增加
Destiny_Cost,Consume,,消耗
Destiny_Task_Finish,Achieved,,已达成
Destiny_Task,Karma Objectives,,天命目标
Desctiny_Unlock_Task,Unlock Objectives,,解锁目标
Destiny_Active_Destiny,Awaken Karma,,唤醒天命
Destiny_Unlock_Destiny,Locked Karma,,未解锁天命
Destiny_Point_To_ZhenQi_Tips,Unused Karma Points are converted to {0} Chi.,,未使用的天命点转换为{0}点真气。
Depend_Prop_zhangfa_attack,Palm ATK,,掌法攻击
Depend_Prop_quanfa_attack,Fist ATK,,拳法攻击
Depend_Prop_tuifa_attack,Kick ATK,,腿法攻击
Depend_Prop_bingqi_attack,Weapon ATK,,兵器攻击
Depend_Prop_anqi_attack,Concealed Weapon ATK,,暗器攻击
Effect_Desc_42024,"Attacks <dmg>7</> times consecutively,dealing <dmg>{0}</> DMG each time.",,连续攻击 <dmg>7</> 次，每次造成 <dmg>{0}</> 伤害
Effect_Desc_42100,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>状态
Effect_Desc_42101,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Poison Gas</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>毒瘴</>状态
Effect_Desc_42102,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Heat</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>灼热</>状态
Effect_Desc_42103,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Drunk</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，对双方均施加 <dmg>{2}</> 层<TipGreenOutLine>醉意</>状态
Effect_Desc_42105,"Deals <dmg>{0}</>x {1} DMG. Inflict in the order of <TipGreenOutLine>Lampworm</>, <TipGreenOutLine>Bloodworm</>, <TipGreenOutLine>Loveworm</>, and <TipGreenOutLine>Deathworm</> to take effect.",,造成 <dmg>{0}</> 倍{1}的伤害，需按<TipGreenOutLine>灯蛊</>、<TipGreenOutLine>血蛊</>、<TipGreenOutLine>情蛊</>、<TipGreenOutLine>绝蛊</>顺序依次附加，方可成功上蛊
Effect_Desc_42106,"Deals <dmg>{0}</>x {1} DMG, then changes all the Moves in hand into Concealed Weapons",,造成 <dmg>{0}</> 倍{1}的伤害，将手上所有招式变为暗器
Effect_Desc_42107,"Deals <dmg>{0}</>x {1} DMG. For each <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> opponent has, increases <dmg>{3}</> additional Moves on opponent's random Skill.",,造成 <dmg>{0}</> 倍{1}的伤害，对手每 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>，对手随机一个绝学的招式需求数量增加 <dmg>{3}</> 个
Effect_Desc_42117,Restores <dmg>{0}%</> Vigor,,恢复自身 <dmg>{0}%</> 气血
Effect_Desc_42118,Deals <dmg>{0}</>x {1} DMG and doubles opponent's <TipGreenOutLine>Heat</> stacks (up to <dmg>{2}</> stacks),,造成 <dmg>{0}</> 倍{1}的伤害，使对手的<TipGreenOutLine>灼热</>层数翻倍，最高不超过 <dmg>{2}</> 层
Effect_Desc_42119,Deals <dmg>{0}</>x {1} DMG and draws <dmg>{2}</> Kick Moves,,造成 <dmg>{0}</> 倍{1}的伤害，抽取 <dmg>{2}</> 个腿法招式
Effect_Desc_42120,"Deals <dmg>{0}</>x {1} DMG. For every <dmg>1</> animal you tamed, increases number of hits by <dmg>1</> (Up to <dmg>{2}</>).",,造成 <dmg>{0}</> 倍{1}的伤害，每驯化 <dmg>1</> 种动物伤害次数增加 <dmg>1</> 次（最多增加 <dmg>{2}</> 次）
Effect_Desc_42121,Deals <dmg>{0}</>x {1} DMG. Deals <dmg>{2}</> extra DMG based on the total stacks of <TipGreenOutLine>Drunk</> on both parties.,,造成 <dmg>{0}</> 倍{1}的伤害，根据双方<TipGreenOutLine>醉意</>层数之和造成 <dmg>{2}</> 的额外伤害
Effect_Desc_42122,Deals <dmg>{0}</>x {1} DMG and steals <dmg>{2}</> Moves from opponent,,造成 <dmg>{0}</> 倍{1}的伤害，偷取对方 <dmg>{2}</> 个招式
Effect_Desc_42123,Deals <dmg>{0}</>x {1} DMG,,造成 <dmg>{0}</> 倍{1}的伤害
Effect_Desc_42124,"Deals <dmg>{0}</>x {1} DMG. If opponent's <TipGreenOutLine>Misfortune</> stacks are above <dmg>{2}</>, inflicts <dmg>1</> stack of <TipGreenOutLine>Ordeal Sigil</> on opponent.",,造成 <dmg>{0}</> 倍{1}的伤害，如对手<TipGreenOutLine>厄运</>层数大于 <dmg>{2}</> 层，则给对手施加 <dmg>1</> 层<TipGreenOutLine>噬心蚀骨符</>
Effect_Desc_42125,Deals <dmg>{0}</>x {1} DMG and draws <dmg>{2}</> Moves from the top of the Move Deck,,造成 <dmg>{0}</> 倍{1}的伤害，从未打出招式的顶部抽取 <dmg>{2}</> 个招式
Effect_Desc_42126,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Acupoint Block</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>封穴</>
Effect_Desc_42127,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Misfortune</> on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>厄运</>
Effect_Desc_42128,"After every <dmg>{0}</> casts, DMG is increased by <dmg>{1}</>. When there's no Kick on the battlefield, you can use this Skill <dmg>1</> time for free next turn.",,每释放 <dmg>{0}</> 次，伤害增加 <dmg>{1}</>，场上没有腿法时，下回合可免费使用 <dmg>1</> 次本绝学
Effect_Desc_42129,Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Poison Gas</>,,造成 <dmg>{0}</> 倍{1}的伤害，附带 <dmg>{2}</> 层<TipGreenOutLine>毒瘴</>
Effect_Desc_42130,Deals <dmg>{0}</>x {1} DMG and restores Vigor equal to <dmg>{2}</>x <TipGreenOutLine>Cold</> stacks on opponent,,造成 <dmg>{0}</> 倍{1}的伤害，自身恢复对手 <dmg>{2}</> 倍<TipGreenOutLine>寒冷</>层数的气血
Effect_Desc_42131,Deals <dmg>{0}</>x {1} DMG. Increases number of hits by <dmg>1</> for every <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> on opponent.,,造成 <dmg>{0}</> 倍{1}的伤害，对手每拥有 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>，伤害次数增加 <dmg>1</> 次
Effect_Desc_42132,Deals DMG equal to <dmg>{0}</>x <TipGreenOutLine>Venom Ailments</> you have,,造成自身<TipGreenOutLine>剧毒隐疾</>数量 <dmg>{0}</> 倍的伤害
Effect_Desc_42133,"Deals <dmg>{0}</>x {1} DMG and draws <dmg>1</> Move. Based on the sum of <TipGreenOutLine>Drunk</> stacks on both sides, each <dmg>{2}</> stacks grant <dmg>1</> draw.",,造成 <dmg>{0}</> 倍{1}的伤害，抽取 <dmg>1</> 个招式，根据双方<TipGreenOutLine>醉意</>层数之和，每 <dmg>{2}</> 层额外抽取 <dmg>1</> 招
