key,Source,Translated
﻿Common_Item,Items
Common_Relation_Apply,{0} has formed a deep hatred relationship with {1}
Common_Attitude_Up_1,{0}'s favor towards {1} has increased
Common_Attitude_Down_1,{0}'s favor towards {1} has decreased
Common_Spread_Msg_Tips,Confirm whether to propagate this message?
Common_AI_Cur,Currently
Common_overseas,Overseas
Common_Monster_Name_1,big
Common_Monster_Name_2,two
Common_Monster_Name_3,three
Common_Monster_Name_4,Four
Common_Monster_Name_5,five
Common_Monster_Name_6,six
Common_Monster_Name_7,seven
Common_Monster_Name_8,eight
Common_Monster_Name_9,Nine
Common_Monster_Name_10,ten
Common_Monster_Name_11,eleven
Common_Half,Half
Common_Unknown,Unknow
Common_Fabricator,(I made it up)
Common_AttiToMe,Favorability
Common_Specialties,Specialties
Common_MapTag,Mark Location
Common_SplitEquip,Decompose equipment
Common_Other_Taget,The other party
Common_Leave,Leave
Common_Empty_Pos,Vacancy
Common_Input_XiuWei,Inject Martial Arts Exp
Common_Recycle,take out
Common_Captive,Captive
Common_Btn_Unlock,Unlock
Common_Btn_Item,Production
Common_Btn_Equip,Weave
Common_Btn_Weapon,Forging
Common_Btn_Cook,Cooking
Common_Paper_Item,Craft Formula
Common_Paper_Equip,Weave Formula
Common_Paper_Weapon,Forge Formula
Common_Paper_Cook,Cooking Formula
call_desc_gender_0,Young Hero,จอมยุทธ์น้อย
call_desc_gender_1,Heroine
call_desc_1,you
call_desc_good_2_1,Daddy
call_desc_good_2_2,Grandpa
call_desc_good_2_3,Daddy
call_desc_good_2_4,Father
call_desc_good_3_1,Mother
call_desc_good_3_2,Grandma
call_desc_good_3_3,Auntie
call_desc_good_4_1,Husband
call_desc_good_4_2,husband
call_desc_good_4_3,Lang Jun
call_desc_good_4_4,official
call_desc_good_4_5,master
call_desc_good_5_1,lady
call_desc_good_5_2,lady
call_desc_good_5_3,daughter in law
call_desc_good_5_4,beloved wife
call_desc_good_6_1,brother
call_desc_good_6_2,elder brother
call_desc_good_6_3,elder brother
call_desc_good_7_1,younger brother
call_desc_good_7_2,Dear brother
call_desc_good_8_1,Sister
call_desc_good_8_2,Sister
call_desc_good_9_1,my sister
call_desc_good_9_2,Sister
call_desc_good_10_1,my son
call_desc_good_10_2,Erro
call_desc_good_10_3,Brat
call_desc_bad_10_1,Rebel
call_desc_bad_10_2,unfilial son
call_desc_good_11_1,girlfriend
call_desc_good_11_2,girl
call_desc_good_12_1,Brother
call_desc_good_13_1,Sister
call_desc_good_14_1,Junior brother
call_desc_good_15_1,Junior Sister
call_desc_good_16_1,Yi brother
call_desc_bad_17_1,You guy
call_desc_good_18_1,Owner
call_desc_good_20_1,Honey
call_desc_bad_20_1,Heartbroken
combat_panel_1,Cast Zone
combat_panel_2,Move Counter
combat_jiao_xun,Teach a lesson
combat_rao_shu,Show mercy
combat_ji_yun,Knock out
combat_xia_zhong_shou,Ruthless bashing 「Enmity」
combat_fei_chu,Destroy Kungfu (Grudge)
combat_suo_yao,Demand item
combat_fa_jin,Collect fines {0}
combat_fang_guo,Let them go 「Grateful +10」
combat_zhi_liao,Heal them 「Grateful +30」
Combat_Result_Message_0,"After some deliberation,{0} decides to knock you out"
Combat_Result_Message_1,"After some deliberation,{0} decides to break your legs"
Combat_Result_Message_2,"After some deliberation,{0} decides to destroy your Kungfu"
Combat_Result_Message_3,"After some deliberation,{0} decides to demand items from you"
Combat_Result_Message_4,"After some deliberation,{0} decides to let you go. Affinity down."
Combat_Result_Message_5,"After some deliberation,{0} decides to heal your wounds"
Combat_target_die_message,"This shot may kill the opponent, whether to reduce the skill and save his life."
target_die_msg_confirm,spare his life
target_die_msg_cancel,Painful hand
Tianshu_Combat,Battle
Tianshu_BUFF,Status
Tianshu_Jingmai,Meridian
Tianshu_Facility,Facilities
Tianshu_Sect,Sect
Tianshu_Interact,Interaction
Tianshu_Tile,Lot
Tianshu_None,"Heavenly Scrolls will be collected and revealed with your Trials.When encountering unexpected problems, you can always open it for viewing."
Deal_Title,Exchange
Deal_My_Item,My Items
Deal_Other_Item,Opponent’s Items
Deal_My_Skill,My Skills
Deal_Other_Skill,Opponent’s Skills
Deal_My_Equip,My Gear
Deal_Other_Equip,Opponent’s Gear
Deal_Confirm,Confirm Exchange
Deal_Cancel,Cancel Exchange
Deal_Status_0,"[#1You], What do you want to trade with me?"
Deal_Status_1,Deals!
Deal_Status_2,"[#1You], You don't give enough, I don't want to trade at a loss!"
Deal_My_Deal_Reward,My exchange revenue
Deal_Need_Item,Required Items
Deal_Info_Tips,Other’s satisfaction points for the exchange
Deal_Info_Tips_1,Other’s satisfaction points for the items
Deal_Lose_Attitude,You took advantage of {0}’s Affinity toward you to profit in the Exchange. His affinity toward you has decreased. \\n{1}
Deal_Desc,Fair Exchange
Deal_Alms_0,"Please,do you have something to spare?"
Deal_Alms_1,Thank you so much! Thank you so much! !
Deal_Balance_Tips,Click to automatically fill the difference with copper coins
Deal_Steal_value,"<Huang22>According to the current thaumaturgy level, you can also steal items with a total value of {0}</>"
Search_Other_Item,Container Items
Search_Other_Skill,Container Skills
Search_Other_Equip,Container Gear
Search_Take_All,Take All
Search_Put_All,Place All
Search_Take_All_1,Take all {0}
Search_Put_All_1,Put in all {0}
Search_Finish,Confirm
Search_Cancel,Cancel
Item_My_Item,My Items
Item_Move_Item,Move Item
Item_Select_Item,Select Item
Item_Rotate_Item,Rotate Item
Item_Select_Num,Select Quantity
Item_All_Price,Total Value
ZhiZuo,Produce
need_resource,Required Resources
ZhiGu,Make Toxin
item_use_btn_name_93002,Summon
item_use_btn_name_93010,Open
place_item_desc,<ItemTipNameGray>Placing:</><ItemTipNameGreen>{0}</> <ItemTipNameGray></> <ItemTipNameGreen>{1}</> <ItemTipNameGray>Left</>
Item_Include_Item,Items included
Demand_Desc,Crafting Requirement
Demand_Unlock_Desc,Unlock Requirement
Skill_Up_Exp_Desc,[Martial Arts Experience] {0}
Skill_Up_Max_Desc,Max
Craft_Base_Formation,Basic Materials
Craft_Item_Formation,Required Materials
Craft_Extra_Formation,Extra Materials
Craft_Btn_210006,Forge
Craft_Btn_None_210006,Insufficient Abilities. Unable to forge
Craft_Btn_210009,Produce
Craft_Btn_None_210009,Insufficient Abilities. Unable to produce
Craft_Btn_210010,Weave
Craft_Btn_None_210010,Insufficient Abilities. Unable to weave
Craft_Btn_210011,Craft
Craft_Btn_None_210011,Insufficient Abilities. Unable to craft
Craft_My_Product,My Gear
craft_part_name_0,Weave Hats
craft_part_name_1,Weave Clothes
craft_part_name_2,Weave Pants
craft_part_name_3,Forge Weapons
craft_part_name_4,Craft Concealed Weapons
craft_ability_desc_0,Can use when {0} Ability is acquired
craft_ability_desc_1,Requires {0} Ability (Beginner)
craft_ability_desc_2,Requires {0} Ability (Expert)
craft_ability_desc_3,Requires {0} Ability (Veteran)
craft_ability_desc_4,Requires {0} Ability (Master)
craft_ability_desc_5,Requires {0} Ability (Guru)
craft_ability_desc_6,Requires {0} Ability (Sage)
split_btn_text,Research
split_exp_desc,Can get Research EXP
split_desc,Put gear in the Dismantling Research
split_desc1,Decomposition can obtain materials
Item_get_desc,Obtain <TDName>{0}</>x{1}
Equip_get_desc,Obtain {0}x{1}
Destiny_Active,Awakened
Destiny_UnActive,Unawakened
Destiny_Lock,Locked
Destiny_point,Karma Points
Destiny_Add,Add
Destiny_Cost,Consume
Destiny_Task_Finish,Achieved
Destiny_Task,Karma Objectives
Desctiny_Unlock_Task,Unlock Objectives
Destiny_Active_Destiny,Awaken Karma
Destiny_Unlock_Destiny,Locked Karma
Destiny_Point_To_ZhenQi_Tips,Unused Karma Points are converted to {0} Chi.
Depend_Prop_zhangfa_attack,Palm ATK
Depend_Prop_quanfa_attack,Fist ATK
Depend_Prop_tuifa_attack,Kick ATK
Depend_Prop_bingqi_attack,Weapon ATK
Depend_Prop_anqi_attack,Concealed Weapon ATK
Effect_Desc_42024,"Attacks <dmg>7</> times consecutively,dealing <dmg>{0}</> DMG each time."
Effect_Desc_42100,"Deal <dmg>{0}</> times {1} damage, apply <dmg>{2}</> layers of <TipGreenOutLine>Cold</> to the opponent"
Effect_Desc_42101,"Cause <dmg>{0}</> times {1} damage, apply <dmg>{2}</> layers of <TipGreenOutLine>Miasma</> status to the opponent"
Effect_Desc_42102,Causes <dmg>{0}</> times {1} damage and applies <dmg>{2}</> layers of <TipGreenOutLine>Scorching</> to the opponent
Effect_Desc_42103,"Deal <dmg>{0}</> times {1} damage, apply <dmg>{2}</> layers of <TipGreenOutLine>Drunk</> to both parties"
Effect_Desc_42105,"Cause <dmg>{0}</> times {1} damage, use them sequentially, add <TipGreenOutLine>Lamp Toxin</>, <TipGreenOutLine>Blood Toxin</>, <TipGreenOutLine>Love Toxin</> >, <TipGreenOutLine>Absolute Toxin</>"
Effect_Desc_42106,"Deals DMG equal to <dmg>{0}</>x {1},then changes all the Moves in hand into Concealed Weapons"
Effect_Desc_42107,"Causes <dmg>{0}</> times {1} damage, for each <dmg>{2}</> layer of <TipGreenOutLine>cold</>, the opponent will increase the number of moves required by a random unique technique<dmg> {3}</> "
Effect_Desc_42117,Restore <dmg>{0}%</> of your own health and blood
Effect_Desc_42118,"Deals <dmg>{0}</> times {1} damage, doubles the opponent's <TipGreenOutLine>Scorching</> layers, up to <dmg>{2}</> layers"
Effect_Desc_42119,Deals DMG equal to <dmg>{0}</>x {1} and draws <dmg>{2}</> Kick Moves
Effect_Desc_42120,"Causes <dmg>{0}</> times {1} damage, for every <dmg>1</> animal domesticated, the number of damage increases by <dmg>1</> (up to <dmg>{2}< /> times)"
Effect_Desc_42121,"Deal <dmg>{0}</> times {1} damage, and <dmg>{2}</> extra damage based on the sum of <TipGreenOutLine>Drunk</> layers of both parties"
Effect_Desc_42122,Cause <dmg>{0}</> times {1} damage and steal <dmg>{2}</> moves from the opponent
Effect_Desc_42123,Does <dmg>{0}</> times {1} damage
Effect_Desc_42124,"Cause <dmg>{0}</> times {1} damage, if the opponent's <TipGreenOutLine>bad luck</> layer is greater than <dmg>{2}</> layer, apply <dmg>1<> to the opponent />Layer <TipGreenOutLine>Heart-eating Bone Talisman</>"
Effect_Desc_42125,"Deal <dmg>{0}</> times {1} damage, draw <dmg>{2}</> moves from top of unplayed moves"
Effect_Desc_42126,"Cause <dmg>{0}</> times {1} damage, apply <dmg>{2}</> layers of <TipGreenOutLine>seal</> to the opponent"
Effect_Desc_42127,"Deal <dmg>{0}</> times {1} damage, apply <dmg>{2}</> layers of <TipGreenOutLine>bad luck</> to the opponent"
Effect_Desc_42128,"Every time <dmg>{0}</> is released, the damage will increase by <dmg>{1}</>. When there is no kick on the field, you can use <dmg>1</> time of this skill for free in the next round"
Effect_Desc_42129,Deals DMG equal to <dmg>{0}</>x {1} and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Poison Gas</>
Effect_Desc_42130,"Causes <dmg>{0}</> times {1} damage, and restores {2} layers of <TipGreenOutLine>cold</> to the opponent."
Effect_Desc_42131,"Cause <dmg>{0}</> times {1} damage, for every <dmg>{2}</> layer of <TipGreenOutLine>cold</>, the number of damage increases by <dmg>1</> "
Effect_Desc_42132,Cause damage <dmg>{0}</> times of your own <TipGreenOutLine>Very Hidden Disease</>
Effect_Desc_42133,"Cause <dmg>{0}</> times {1} damage, draw <dmg>1</> move, according to the sum of <TipGreenOutLine>Drunk</> layers of both parties, every <dmg>{2} </> layer extra draw <dmg>1</> move"
Effect_Desc_42134,"Cause <dmg>{0}</> times {1} damage, add <dmg>{2}</> layers of <TipGreenOutLine>drunk</>, every time blood decreases by <dmg>10%</> Additional <dmg>{3}</> layer <TipGreenOutLine>Drunk</>"
Effect_Desc_42135,"Cause <dmg>{0}</> times {1} damage, the opponent is hallucinated, see through all the opponent's moves this round"
Effect_Desc_42136,"Deals <dmg>{0}</> times {1} damage, when the opponent's <TipGreenOutLine>Scorching</> layer is higher than <dmg>{2}</> layer, destroy a piece of equipment"
Effect_Desc_42137,"Throw half of the coins, each <dmg>{0}</> coins deal <dmg>1</> damage"
Effect_Desc_42138,"Cause <dmg>{0}</> times {1} damage, eat the opponent's <TipGreenOutLine> Toxin</>, each <TipGreenOutLine>Toxin</> increases by <dmg>{2 in this battle }</> point blood and maximum blood"
Effect_Desc_42139,"Deals <dmg>{0}</> times {1} damage, applies <dmg>{2}</> layers of <TipGreenOutLine>「Spikes」</> to self"
Effect_Desc_42140,Applies <dmg>{0}</> layer of <TipGreenOutLine>「Golden Bells」</> to itself
Effect_Desc_42141,Imitate one of the opponent’s Skills
Effect_Desc_42142,Deals DMG equal to <dmg>{0}</>x {1} and reduces required Moves for <dmg>1</> random Skill
Effect_Desc_42143,Deals DMG equal to <dmg>{0}</>x {1} and grants <TipGreenOutLine>Crit</> to <dmg>{2}</> Moves 
Effect_Desc_42144,Deals DMG equal to <dmg>{0}</>x {1} and randomly draws <dmg>{2}</> Moves from the Moves you have used
Effect_Desc_42145,"Causes <dmg>{0}</> times {1} damage, for each additional feud in the relationship, the number of damage increases by <dmg>1</>, and the need for moves decreases by <dmg>1</>\\ n[Cultivating this kind of martial arts requires <TipGreenOutLine>unfeeling and righteous</>]"
Effect_Desc_42146,"Deals <dmg>{0}</> times the maximum Chi in damage, can only be released once per battle"
Effect_Desc_42147,"Deals DMG equal to <dmg>{0}</>x {1}. Reduces the Moves required to cast another random Skill. For each additional Intimacy in Relations,reduces the Moves for casting this Skill by <dmg>1</>"
Effect_Desc_42200,"Consume <dmg>30%</> of your current blood, for every <dmg>100</> blood consumed, add <dmg>{0}</> layers of <TipGreenOutLine>Spike</>"
Effect_Desc_42201,"Deal <dmg>{0}</> times {1} damage, <TipGreenOutLine>Spiked</> stacks will not be consumed this round"
Effect_Desc_42202,"Causes <dmg>{0}</> times {1} damage, the effect of <TipGreenOutLine>Spike</> will resolve <dmg>{2}</> times this round"
Effect_Desc_42203,"Deal <dmg>{0}</> times {1} damage, additionally deal <dmg>{2}</> times weapon damage of <TipGreenOutLine>Spike</> layers"
Effect_Desc_42210,"Cause <dmg>{0}</> times {1} damage, your fist can restrain weapons this round"
Effect_Desc_42211,"Causes <dmg>{0}</> times {1} damage, each time you use this technique, the damage will increase by <dmg>{2}%</>"
Effect_Desc_42212,"Cause <dmg>{0}</> times {1} damage, redraw normal moves"
Effect_Desc_42213,"Cause <dmg>{0}</> times {1} damage, and add a random negative state to the opponent according to the number of hidden weapon moves played by the opponent this round"
Effect_Desc_42214,"Deals <dmg>{0}</> times {1} damage, and for each activated unique skill, additional <dmg>{2}</> times weapon damage"
Effect_Desc_42215,"Deal <dmg>{0}</> times {1} damage to all enemies, for every <dmg>1</> hit, the damage will increase by <dmg>{2}%</> "
Effect_Desc_42220,"Causes <dmg>{0}</> times {1} damage, additional <dmg>{2}</> {3} this round"
Effect_Desc_42221,"Causes <dmg>{0}</> times {1} damage, additional <dmg>{2}</> {3} this round"
Effect_Desc_42222,"Causes <dmg>{0}</> times {1} damage, additional <dmg>{2}</> {3} this round"
Effect_Desc_42223,"Causes <dmg>{0}</> times {1} damage, additional <dmg>{2}</> {3} this round"
Effect_Desc_42224,"Causes <dmg>{0}</> times {1} damage, additional <dmg>{2}</> {3} this round"
Effect_Desc_42225,"Cause <dmg>{0}</> times {1} damage to all enemies. For every <dmg>1</> move you use in this round, you will get <dmg>{2}</> double palms law harm"
Effect_Desc_42230,"Cause <dmg>{0}</> times {1} damage, randomly eliminate opponent's <dmg>{2}</> moves, the eliminated moves can be used to activate your own unique skills, and you can use <dmg in each battle >{3}</> times"
Effect_Desc_42231,Cause <dmg>{0}</> times {1} damage and eliminate the opponent's random moves
Effect_Desc_42232,"Cause <dmg>{0}</> times {1} damage, replacing a random type of move with another type of move"
Effect_Desc_42233,"Cause <dmg>{0}</> times {1} damage, mix the opponent's moves with our normal moves on the field and distribute them evenly"
Effect_Desc_42234,"Causes <dmg>{0}</> times {1} damage. For every <dmg>1</> more normal moves on the field than the opponent's moves, the damage of unique skills will increase by <dmg>100%</>"
Effect_Desc_42240,Applies a layer of <TipGreenOutLine>「Turning Stars」</> to self
Effect_Desc_42241,Applies a layer of <TipGreenOutLine>「Green Outline」</> to itself
Effect_Desc_42242,"Cause <dmg>{0}</> times {1} damage, and eliminate <dmg>{2}</> layers of each BUFF"
Effect_Desc_42243,"Cause <dmg>{0}</> times {1} damage, eliminate <dmg>{2}</> layers of each BUFF, increase <dmg>{3}%</> for each layer eliminated unique damage"
Effect_Desc_42244,"Causes <dmg>{0}</> times {1} damage, eliminates <dmg>{2}</> layers of each BUFF, and recovers <dmg>{3}</> for each layer removed some blood"
Effect_Desc_42250,"Causes <dmg>{0}</> times {1} damage, turning random <dmg>{2}</> moves into <dmg>1</> no moves"
Effect_Desc_42251,"Cause <dmg>{0}</> times {1} damage, and turn random <dmg>{2}</> martial arts moves into no move"
Effect_Desc_42252,"Causes <dmg>{0}</> times {1} damage, for every <dmg>1</> no move in the field and unused moves, the number of damage <dmg>+1</>"
Effect_Desc_42253,"Cause <dmg>{0}</> times {1} damage, for every <dmg>{2}</> weapon moves on the field, generate <dmg>1</> non-moves on the field"
Effect_Desc_42254,"Deal <dmg>{0}</> times {1} damage to all enemies, and draw new moves according to the number of moves on the field"
Effect_Desc_42260,"Dao defends the universe, and Li Dangli is born"
Effect_Desc_42261,"Tao is sacred, vulgarity should be avoided"
Effect_Desc_42262,"The way leads to the four poles, and the limit should be eliminated"
Effect_Desc_42263,"Knowledge is dry and prosperous, breaking the boundary should be punished"
Effect_Desc_42264,"The Dao sees birth and death, killing and returning to one"
Effect_Desc_42300,Does <dmg>{0}</> times {1} damage
Effect_Desc_42301,Does <dmg>{0}</> times {1} damage
Effect_Desc_42302,Does <dmg>{0}</> times {1} damage
Effect_Desc_42303,Does <dmg>{0}</> times {1} damage
Effect_Desc_42304,Does <dmg>{0}</> times {1} damage
Effect_Desc_42305,Does <dmg>{0}</> times {1} damage
Effect_Desc_42306,Does <dmg>{0}</> times {1} damage
Effect_Desc_42307,Does <dmg>{0}</> times {1} damage
Effect_Desc_43000,Deals DMG equal to <dmg>{0}</>x {1}
Effect_Desc_43001,Deals DMG equal to <dmg>{0}</>x {1}
skill_prop_xuan_yin_zhenqi_lv,\\n\\n<ZQ_XuanYin>「Xuan Yin True Qi」 bonus</>
skill_prop_chun_yang_zhenqi_lv,\\n\\n<ZQ_ChunYang>「Pure Yang True Qi」 bonus</>
skill_prop_sha_du_zhenqi_lv,\\n\\n<ZQ_DuSha>「Poisonous True Qi」 bonus</>
skill_prop_hun_yuan_zhenqi_lv,\\n\\n<ZQ_HunYuan>「Hunyuan True Qi」 bonus</>
Skill_Learning,Acquiring
Learned_Skill,Acquire Skills
Learned_NeiGong,Acquire Inner Kungfu
Learned_Ability,Acquire Abilities
Learned_Destiny,Unlock Karma
Unlock_SandBox,Unlock Sandbox Mode
neigong_name_190000,Breathing Skill
neigong_name_190007,Freeze Spell
neigong_name_190009,Heart-burning Spell
neigong_name_190010,Drunken Immortal
neigong_name_190024,Yi Jin Jing
neigong_name_190025,Poison Proof Spell
neigong_name_190026,Art of Heartflame
neigong_name_190027,Tranquility Spell
neigong_name_190028,Millibeast Spell
neigong_name_190029,Dragonform
neigong_name_190031,Art of Five Senses
neigong_name_190032,Art of Soul Deprivation
neigong_name_190033,Art of Drunkness
neigong_name_190034,Art of Harmony
neigong_name_190035,Art of Marrow Refining
neigong_name_190036,Art of Hellish Breathing
neigong_name_190037,Golden Acupuncture
neigong_name_190038,Art of Shifting
neigong_name_190039,Anti-toxin Spell
neigong_name_190040,Mechanic
neigong_name_190041,Beastmaster
neigong_name_190042,Bionic Pentaform
neigong_name_190100,Mysterious Turtle Health Regimen
neigong_name_190101,Moving blood and exercising the body
neigong_name_190110,Arhat's Art of Subduing Demons
neigong_name_190111,King Kong Body Protection
neigong_name_190112,The Sutra of Changing Tendons 「Sanskrit」
neigong_name_190120,Capture the Dragon and Subdue the Tiger
neigong_name_190121,Lotus Blossom's Decision
neigong_name_190130,Wudang Taihe Gong
neigong_name_190131,Wudang Pure Yang Gong
neigong_name_190132,Hunyuan Xiantian Gong
neigong_name_190140,Seven Stars of Ziwei
neigong_name_190141,Switching Stars to Fighting Gods
neigong_name_190150,Determination Without Traces
neigong_name_190151,Zixia Sword Qi
neigong_name_190160,Body Protection Qi
neigong_name_190161,true law
neigong_desc_190000,<JmTipGray>Doubles Vigor recovery</>
neigong_desc_190000_collect,<JmTipGray>Way to acquire:Sleep</>
neigong_desc_190001,"<JmTipGray>When you release 3 Palms,steals 1 Move</>"
neigong_desc_190002,<JmTipGray>Fist can grant Lifesteal</>
neigong_desc_190003,"<JmTipGray>When you release 3 Kicks,inflicts 2 stacks of Heat</>"
neigong_desc_190004,"<JmTipGray>When you release 3 Weapons,dodges 2 Moves</>"
neigong_desc_190005,"<JmTipGray>When you release 3 Concealed Weapons,inflicts 2 stacks of Poison Gas</>"
neigong_desc_190006,<JmTipGray>Activates 5 Inner Kungfu effects in the Bionic series</>
neigong_desc_190007,"<JmTipGray>When drawing a move, the probability of the move will be cold</>"
neigong_desc_190007_collect,<JmTipGray>Way to acquire:Remain Cold state</> <JmTipWhite> above 30</> <JmTipGray>stacks</>
neigong_desc_190008,"<JmTipGray>When you draw Moves,the Moves have a chance to inflict Poison Gas</>"
neigong_desc_190009,"<JmTipGray>When drawing a move, the probability of the move comes with scorching</>"
neigong_desc_190009_collect,<JmTipGray>Way to acquire:Remain Heat state</> <JmTipWhite> above 30</> <JmTipGray>stacks</>
neigong_desc_190010,"<JmTipGray>Movement speed will not be affected by drunkenness, immune to drunkenness</>"
neigong_desc_190010_collect,<JmTipGray>Way to acquire:Get drunk</>
neigong_desc_190011,<JmTipGray>Opponent’s any action has a chance to inflict Misfortune</>
neigong_desc_190012,"<JmTipGray>When you get a Move,there is a chance to inflict Toxin Worm</>"
neigong_desc_190013,"<JmTipGray>In Cold state,you’ll take less DMG from opponent</>"
neigong_desc_190014,<JmTipGray>Cold state enhanced</>
neigong_desc_190015,"<JmTipGray>For each debuff opponent has,reduces the DMG taken</>"
neigong_desc_190016,"<JmTipGray>After a fight,cleanses</> <JmTipWhite>1</> <JmTipGray>stack of debuff</>"
neigong_desc_190017,"<JmTipGray>In a fight,when the Moves of both sides have a Drunk state,deals extra DMG based on the move’s original DMG</>"
neigong_desc_190018,"<JmTipGray>Drunk Moves are able to be connected,ignoring the connection rule </>"
neigong_desc_190019,"<JmTipGray>When Vigor is above</> <JmTipWhite>90%</> <JmTipGray>,more Moves are created in one turn</>"
neigong_desc_190020,<JmTipGray>Heat effect enhanced 「Gear will be less durable」</>
neigong_desc_190021,<JmTipGray>Has a chance to ignore the DMG dealt by opponent’s Move</>
neigong_desc_190022,<JmTipWhite>Sudden Strike</> <JmTipGray>added to the battle options.</><JmTipGray> Escape from battle after one turn and increase DMG dealt in this battle</>
neigong_desc_190023,<JmTipGray>Randomly activates a Concealed Weapon Skill each turn</>
