key,original,translation
Murmum_61003_2,{0}，等一下！我有事相告！,
Murmum_61003_3,{0}，留步，有要事相商！,
Murmum_61003_4,{0}，莫走，听我说明来意！,
Murmum_61003_5,{0}，劳请留步，有要紧事相告！,
Murmum_61004_1,天地为证，今生今世，我只爱你一个！,
Murmum_61004_2,情深不寿，有你便成。与你生死相许，白头到老!  ,
Murmum_61004_3,情深似海，与你生死相托，白首不渝!！,
Murmum_61004_4,天地可鉴，你我秉烛俱老，生死之交！,
Murmum_61004_5,从今往后，我愿与你白头偕老，不离不弃！,
Murmum_61005,{0}，来来来！快跟上我！,
Murmum_61006_1,[#1你]要带我去哪里？,
Murmum_61006_2,[#1你]究竟要去何处啊?,
Murmum_61006_3,[#1你]到底要去哪？有何要紧之事？,
Murmum_61006_4,[#1你]要走多远啊？,
Murmum_61006_5,？？？,
Murmum_61007_1,救火啊，家都要烧没了!!!,
Murmum_61007_2,着火啦！快救火啊!!!,
Murmum_61007_3,放火的在哪?!要我们的命啊?!!!,
Murmum_61007_4,这么热闹，不吃烧烤都对不起这场火灾了!!!,
Murmum_61007_5,抓住放火的，一定要把他烧成灰，让他知道马王爷有几只眼!!!,
Murmum_61008_1,喝！！！,
Murmum_61008_2,干了这杯！,
Murmum_61008_3,好酒！！！,
Murmum_61008_4,一壶灌饮，烦恼皆消!,
Murmum_61008_5,人生苦短，及时行乐!一壶清酒，一身轻松!,
Murmum_61008_6,世态炎凉，唯有这一壶独饮，真真解却万般世俗烦恼! ,
Murmum_61008_7,世事无常，及时行乐，这杯酒我自斟自饮!,
Murmum_61008_8,人生几何，及时行乐，莫失己乐! ,
Murmum_61008_9,人生不如意事常有，及时行乐，当下体验，更好过度日烦恼忧愁! ,
Murmum_61008_10,人生如梦，劳碌辛苦终难长久。及时行乐，一杯清酒，释放尘寰烦恼,
Murmum_61008_11,浮生若梦，为乐更浓。壶中美酒，当下最重。,
Murmum_61008_12,生死定数，富贵非我。及时享乐，不负韶华。,
Murmum_61008_13,山水有情天地老，人生几度秋风凉。,
Murmum_61008_14,蠶已吐丝，蜜已成蜜。只此安乐，怎一个春秋!,
Murmum_61008_15,花开花落，月上月下，此生难再，及时行乐，把酒痛饮。,
Murmum_61008_16,滚滚长江东逝水，浪花淘尽英雄。生如叶上寄，死如风中流。及时行乐，把樽中美酒饮。 ,
Murmum_61009_1,臭要饭的，赶紧滚！,
Murmum_61009_2,走远点！除了讨饭没本事的废物!,
Murmum_61009_3,滚！等着人施舍的懒骨头!,
Murmum_61009_4,去去去！别碍眼！,
Murmum_61009_5,真是烦人！滚远点！！,
Murmum_61010_1,去去去，到别地儿要饭去！,
Murmum_61010_2,烦不烦，别在这里碍眼!,
Murmum_61010_3,要不要脸，快给我消失!,
Murmum_61010_4,对你我可生不出怜悯之心。,
Murmum_61010_5,你怎么跟苍蝇似的，离我远点！,
Murmum_61011_1,抱歉，我也没东西给你呢,
Murmum_61011_2,在下此刻没有钱财，实在抱歉! ,
Murmum_61011_3,我也身无分文，否则定将施舍一点济助!,
Murmum_61011_4,我实在爱莫能助，你找找其他人吧。,
Murmum_61011_5,你再去问问其他人，我身上没钱了。,
Murmum_61012_1,参见掌门！！！,
Murmum_61012_2,掌门大人万福！,
Murmum_61012_3,参拜师尊！,
Murmum_61012_4,弟子参拜老祖宗！,
Murmum_61012_5,掌门万安！！,
Murmum_61013_1,参见武林盟主！！！,
Murmum_61013_2,盟主万岁! ,
Murmum_61013_3,盟主雄姿英发! ,
Murmum_61013_4,天下英雄，盟主第一! ,
Murmum_61013_5,盟主威武!,
Murmum_61013_6,拜见武林泰斗!,
Murmum_61013_7,武林后辈参见前辈!,
Murmum_61013_8,盟主万福金安！,
Murmum_61013_9,在下有幸拜见前辈！,
Murmum_61013_10,盟主万岁万岁万万岁！！,
Murmum_61013_11,武林泰斗，盟主乃天下第一!,
Murmum_61013_12,武林神龙会首，盟主当世独步天下!,
Murmum_61013_13,拜见天下无双，武林盟主!,
Murmum_61013_14,拜见当世神龙，武林盟主!,
Murmum_61014_1,你已触犯门规，在下奉命执行，速速就擒！！！,
Murmum_61014_2,触犯门规者，必受惩处! ,
Murmum_61014_3,违背师法者，定受门规制裁!   ,
Murmum_61014_4,你已违背门规，罪无可赦! ,
Murmum_61014_5,还不快束手就擒，你触犯门规在劫难逃！,
Murmum_61015_1,事有因，果有果，有人找我来教训你一顿！,
Murmum_61015_2,我接了人家的任务来管教你这个混账东西!,
Murmum_61015_3,我受人所托，来给你一点颜色看看! ,
Murmum_61015_4,我奉人之命来教训你这个不懂规矩的败类!,
Murmum_61015_5,我受人之托给你一点教训，以后别再惹是生非了！,
Murmum_61016_1,小贼！敢偷袭我？！今日之事，必让你付出代价！,
Murmum_61016_2,你这个卑鄙小人，我跟你拼了!,
Murmum_61016_3,你这个死无赖，我定要你的狗命! ,
Murmum_61016_4,你这个懦夫，竟然搞偷袭，我非杀了你不可!  ,
Murmum_61016_5,胆敢偷袭我，你活腻了!,
Murmum_61017_1,窃贼休走，鬼鬼祟祟，找打！,
Murmum_61017_2,死贼，竟敢在我面前偷偷摸摸，我定要你倾家荡产!,
Murmum_61017_3,你这种贼人，简直活该万劫不复!,
Murmum_61017_4,敢在我面前偷东西，你简直找死!,
Murmum_61017_5,我早就盯上你这个贼了，今天一定要了你的狗命! ,
Murmum_61018_1,你这个畜生，竟然这样残杀无辜，真是畜生不如! ,
Murmum_61018_2,你这样下作地屠杀好人，简直禽兽不如! ,
Murmum_61018_3,你这个魔头，我定要你为这些无辜的生命偿还! ,
Murmum_61018_4,这样滥杀好人，你还有人性吗!你简直成魔了!,
Murmum_61018_5,你这个恶魔，这样滥杀无辜的行径，真是令人发指!,
Murmum_61019_1,你行恶多端，今日我便斩了你！,
Murmum_61019_2,你这样的行径，实在是让人看不下去!  ,
Murmum_61019_3,你这个混账东西，竟敢做出这么过分的事，真是罪该万死!,
Murmum_61019_4,你这个败类，这样的行径简直令人发指!,
Murmum_61019_5,你真是个祸害，做这种伤天害理的事，简直罪无可赦!,
Murmum_61020_1,你这鼠辈，惹我不快，早就看你不顺眼了！看我不揍趴你！,
Murmum_61020_2,又是你这个败类!  ,
Murmum_61020_3,又见到你这张可恶的脸! ,
Murmum_61020_4,你这个讨人厌的家伙，简直让人看着就烦!,
Murmum_61020_5,你这样的人，简直令人作呕! ,
Murmum_61021,匪我思存，非礼勿言！留下财物，不伤你性命！！,
Murmum_61022_1,你这个混账东西，竟敢动我的手，找死! ,
Murmum_61022_2,你这个狂徒，竟敢挑衅我，简直是自不量力!,
Murmum_61022_3,你这个蠢货，敢主动招惹我，真是活得不耐烦了,
Murmum_61022_4,你也敢挑衅我，你也太高估自己了!,
Murmum_61022_5,你个三脚猫，也敢招惹我，你是活腻了吧!,
Murmum_61023_1,此恨不共戴天，你与我水火不容，今日我便要来送你上西天！,
Murmum_61023_2,我们之间的这笔血债，我今天定要讨回来!,
Murmum_61023_3,我们之间的恩怨，今天也该了了! ,
Murmum_61023_4,你我仇深似海，今天要你的狗命！！,
Murmum_61023_5,我与你不死不休！！！,
Murmum_61024,嗯？……好像附近找不到{0}……,
Murmum_61025_1,啊，好想去{0}，可是身上的钱好像不太够啊……,
Murmum_61025_2,想去{0}体验一下，可没那么多闲钱呀，有点为难。,
Murmum_61025_3,听说{0}很不错，就是手头有点紧，有点不舍得。,
Murmum_61025_4,好想去{0}，可惜囊中羞涩啊。,
Murmum_61025_5,有没有好心人带去{0}啊...,
Murmum_61026,滚，我不允许你进入！！！,
Murmum_61027,进来吧！有什么事？,
Murmum_61028,晚上了，我要睡觉了！,
Murmum_61029,看来[#1你]现在很忙，我过会儿再来找你。,
Murmum_61030,我只能把你放在这了。,
Murmum_61031,可恶的家伙！保命要紧！！逃！！,
Murmum_61032,我不想去了，就这样吧！！！,
Murmum_61033,叽叽！！叽叽叽！！！（猴叫）。,
Murmum_61034,（房间内似乎没有人……）,
Murmum_61035,拿取首级！！,
Murmum_61036_1,哪来的野狗，脏了老子的地方！,
Murmum_61036_2,撒泡尿照照自己，什么身份，来这晃悠！,
Murmum_61036_3,不看看这是什么地方，也是你能来的?,
#武林大会,,
Murmum_70001_1,感谢各位江湖朋友参与本届武林大会，共襄盛举！！我们大荒以武论英雄，只有武力卓绝力压众人，才能成为人人敬仰的武林盟主。,
Murmum_70002_1,什么时候开始啊,
Murmum_70003_1,说得好!！！！！,
Murmum_70003_2,快开始吧，我已经等不及了。,
Murmum_70003_3,我要做武林盟主！！！！！！！！！,
Murmum_70003_4,千秋霸业一统江湖,
Murmum_70003_5,一决高下！！！！！！！！！,
Murmum_70004_1,打得好,
Murmum_70004_2,真是精彩,
Murmum_70004_3,好!!!,
Murmum_70004_4,我看他们的武功都稀松平常,
Murmum_70004_5,好快的招!,
Murmum_70005_1,赶紧下一场,
Murmum_70006_1,还有谁？！！！,
Murmum_70007_1,我真是小看了你!,
Murmum_70007_2,佩服~佩服，我不是你的对手。,
Murmum_70007_3,你好卑鄙，我一定会加倍奉还！！,
Murmum_70007_4,阁下武功高绝，在下输了,
Murmum_70008_1,请！,
Murmum_70008_2,幸会！,
Murmum_70008_3,你认输吧!免得失手伤了你,
Murmum_70008_4,你不是我的对手!,
Murmum_70008_5,我不会手下留情！,
Murmum_70009_1,本轮的对阵双方是 {0} 对 {1} ,
Murmum_70010_1,轮到我了,
Murmum_70011_1,本届武林盟主是:,
Murmum_70012_1,恭贺盟主！,
Murmum_70012_2,盟主武功绝世，我等心悦诚服！！,
Murmum_70012_3,盟主万岁万岁!!,
Murmum_70012_4,盟主天下第一!!!,
Murmum_70013_1,距离武林大会开启还需要<GuideRed>{0}</>天！,
#武林大会,,
Murmum_80000,「正在考虑与你的关系……」,
Murmum_80001,「正在考虑对你的态度……」,
Murmum_80002,{0}，学不了「{1}」,
#门派例会,,
Murmum_90000,“大家都到了啊，现在开会议会。”,
Murmum_90001_0,参见掌门！,
Murmum_90001_1,掌门万安！,
Murmum_90002_0,很好，没有违规弟子！,
Murmum_90002_1,你们都很自守，我很欣慰！,
Murmum_90003_0,全赖掌门英明领导!,
Murmum_90003_1,我等谨遵掌门法旨！,
Murmum_90004_0,这些人依法惩处！,
Murmum_90004_1,太让我失望了！全部严惩！,
Murmum_90005,接下来发放月例！,
Murmum_90006,本月{0}贡献最高，其他人继续加油啊！,
Murmum_90007,拜谢掌门提携！在下惶恐！,
Murmum_90008,多谢掌门！,
Murmum_90009,哎...谢掌门。,
Murmum_90010,这个月日子不好过了...,
Murmum_90011,希望大家继续努力，将门派发扬光大！,
Murmum_90012_0,是！谨遵法旨！,
Murmum_90012_1,我等谨遵掌门法旨！,
#门派挑战,,
Murmum_90100,「无法越级挑战」：你还不够向我发起挑战,
Murmum_90101,在下甘拜下风！,
Murmum_90102,就这？,
# 拍卖会,,
Murmum_100000,已经超出我的预期了，我放弃。,
Murmum_100001,真是倒霉！没带够银两！！,
Murmum_100002,我出 {0} ，此物我势在必得！！,
Murmum_100003,我再加一些，出价 {0}。,
Murmum_100004,我对此物不感兴趣,
Murmum_100005,既然[#1你]这么喜欢，我只好忍痛割爱了。,
Murmum_100006,实在是抱歉，此物对我太过重要。,
Murmum_100007,在下恕难从命！！,
Murmum_100008,我觉得放弃此物,
Murmum_100009,你有几斤几两，竞敢威胁我！！,
