"craft_ability_desc_1","需要{0}能力·入门"
"craft_ability_desc_2","需要{0}能力·熟练"
"craft_ability_desc_3","需要{0}能力·小成"
"craft_ability_desc_4","需要{0}能力·精通"
"craft_ability_desc_5","需要{0}能力·大成"
"craft_ability_desc_6","需要{0}能力·圆满"
"split_btn_text","研究"
"split_exp_desc","可获得研究经验"
"split_desc","放入装备进行分解研究"
"split_desc1","分解可获得材料"
# 获得道具提示,
"Item_get_desc","获得<TDName>{0}</>x{1}"
"Equip_get_desc","获得{0}x{1}"
# 天命界面,
"Destiny_Active","已唤醒"
"Destiny_UnActive","未唤醒"
"Destiny_Lock","未解锁"
"Destiny_point","天命点"
"Destiny_Add","增加"
"Destiny_Cost","消耗"
"Destiny_Task_Finish","已达成"
"Destiny_Task","天命目标"
"Desctiny_Unlock_Task","解锁目标"
"Destiny_Active_Destiny","唤醒天命"
"Destiny_Unlock_Destiny","未解锁天命"
"Destiny_Point_To_ZhenQi_Tips","未使用的天命点转换为{0}点真气。"
# 绝学效果描述,
"Depend_Prop_zhangfa_attack","掌法攻击"
"Depend_Prop_quanfa_attack","拳法攻击"
"Depend_Prop_tuifa_attack","腿法攻击"
"Depend_Prop_bingqi_attack","兵器攻击"
"Depend_Prop_anqi_attack","暗器攻击"
"Effect_Desc_42024","连续攻击 <dmg>7</> 次，每次造成 <dmg>{0}</> 伤害"
"Effect_Desc_42100","造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>状态"
"Effect_Desc_42101","造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>毒瘴</>状态"
"Effect_Desc_42102","造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>灼热</>状态"
"Effect_Desc_42103","造成 <dmg>{0}</> 倍{1}的伤害，对双方均施加 <dmg>{2}</> 层<TipGreenOutLine>醉意</>状态"
"Effect_Desc_42105","造成 <dmg>{0}</> 倍{1}的伤害，需按<TipGreenOutLine>灯蛊</>、<TipGreenOutLine>血蛊</>、<TipGreenOutLine>情蛊</>、<TipGreenOutLine>绝蛊</>顺序依次附加，方可成功上蛊"
"Effect_Desc_42106","造成 <dmg>{0}</> 倍{1}的伤害，将手上所有招式变为暗器"
"Effect_Desc_42107","造成 <dmg>{0}</> 倍{1}的伤害，对手每 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>，对手随机一个绝学的招式需求数量增加 <dmg>{3}</> 个"
"Effect_Desc_42117","恢复自身 <dmg>{0}%</> 气血"
"Effect_Desc_42118","造成 <dmg>{0}</> 倍{1}的伤害，使对手的<TipGreenOutLine>灼热</>层数翻倍，最高不超过 <dmg>{2}</> 层"
"Effect_Desc_42119","造成 <dmg>{0}</> 倍{1}的伤害，抽取 <dmg>{2}</> 个腿法招式"
"Effect_Desc_42120","造成 <dmg>{0}</> 倍{1}的伤害，每驯化 <dmg>1</> 种动物伤害次数增加 <dmg>1</> 次（最多增加 <dmg>{2}</> 次）"
"Effect_Desc_42121","造成 <dmg>{0}</> 倍{1}的伤害，根据双方<TipGreenOutLine>醉意</>层数之和造成 <dmg>{2}</> 的额外伤害"
"Effect_Desc_42122","造成 <dmg>{0}</> 倍{1}的伤害，偷取对方 <dmg>{2}</> 个招式"
"Effect_Desc_42123","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42124","造成 <dmg>{0}</> 倍{1}的伤害，如对手<TipGreenOutLine>厄运</>层数大于 <dmg>{2}</> 层，则给对手施加 <dmg>1</> 层<TipGreenOutLine>噬心蚀骨符</>"
"Effect_Desc_42125","造成 <dmg>{0}</> 倍{1}的伤害，从未打出招式的顶部抽取 <dmg>{2}</> 个招式"
"Effect_Desc_42126","造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>封穴</>"
"Effect_Desc_42127","造成 <dmg>{0}</> 倍{1}的伤害，给对手施加 <dmg>{2}</> 层<TipGreenOutLine>厄运</>"
"Effect_Desc_42128","每释放 <dmg>{0}</> 次，伤害增加 <dmg>{1}</>，场上没有腿法时，下回合可免费使用 <dmg>1</> 次本绝学"
"Effect_Desc_42129","造成 <dmg>{0}</> 倍{1}的伤害，附带 <dmg>{2}</> 层<TipGreenOutLine>毒瘴</>"
"Effect_Desc_42130","造成 <dmg>{0}</> 倍{1}的伤害，自身恢复对手 <dmg>{2}</> 倍<TipGreenOutLine>寒冷</>层数的气血"
"Effect_Desc_42131","造成 <dmg>{0}</> 倍{1}的伤害，对手每拥有 <dmg>{2}</> 层<TipGreenOutLine>寒冷</>，伤害次数增加 <dmg>1</> 次"
"Effect_Desc_42132","造成自身<TipGreenOutLine>剧毒隐疾</>数量 <dmg>{0}</> 倍的伤害"
"Effect_Desc_42133","造成 <dmg>{0}</> 倍{1}的伤害，抽取 <dmg>1</> 个招式，根据双方<TipGreenOutLine>醉意</>层数之和，每 <dmg>{2}</> 层额外抽取 <dmg>1</> 招"
"Effect_Desc_42134","造成 <dmg>{0}</> 倍{1}的伤害，自身增加 <dmg>{2}</> 层<TipGreenOutLine>醉意</>，气血每减少 <dmg>10%</> 额外增加 <dmg>{3}</> 层<TipGreenOutLine>醉意</>"
"Effect_Desc_42135","造成 <dmg>{0}</> 倍{1}的伤害，对手被迷幻，本回合识破对手所有招式"
"Effect_Desc_42136","造成 <dmg>{0}</> 倍{1}的伤害，对手的<TipGreenOutLine>灼热</>层数高于 <dmg>{2}</> 层时，损毁一件装备"
"Effect_Desc_42137","丢出一半的铜钱，每 <dmg>{0}</> 个铜钱造成 <dmg>1</> 点伤害"
"Effect_Desc_42138","造成 <dmg>{0}</> 倍{1}的伤害，吃掉对手身上的<TipGreenOutLine>蛊</>，本场战斗中每个<TipGreenOutLine>蛊</>增加 <dmg>{2}</> 点气血和最大气血"
"Effect_Desc_42139","造成 <dmg>{0}</> 倍{1}的伤害，为自身施加 <dmg>{2}</> 层<TipGreenOutLine>「尖刺」</>"
"Effect_Desc_42140","为自身施加 <dmg>{0}</> 层<TipGreenOutLine>「金钟罩」</>"
"Effect_Desc_42141","模仿对手一个绝学"
"Effect_Desc_42142","造成 <dmg>{0}</> 倍{1}的伤害，随机减少 <dmg>1</> 个绝学的招式需求"
"Effect_Desc_42143","造成 <dmg>{0}</> 倍{1}的伤害，为 <dmg>{2}</> 招式附加 <TipGreenOutLine>暴击</> "
"Effect_Desc_42144","造成 <dmg>{0}</> 倍{1}的伤害，从打出的招式中随机抽取 <dmg>{2}</> 个招式"
"Effect_Desc_42145","造成 <dmg>{0}</> 倍{1}的伤害，关系中每增加一个结怨，伤害次数增加 <dmg>1</> 次，招式需求减少 <dmg>1</> 个\\n[修炼此种武功需要<TipGreenOutLine>绝情绝义</>]"
"Effect_Desc_42146","造成 <dmg>{0}</> 倍{1}的伤害，当真气大于对方时，附加真气差值 <dmg>{2}</> 倍的伤害"
"Effect_Desc_42147","造成 <dmg>{0}</> 倍{1}的伤害，随机减少一个其他绝学的招式需求，关系中每增加一个情投意合，本绝学的招式需求减少 <dmg>1</> 个"
"Effect_Desc_42200","消耗自身当前气血的 <dmg>30%</> ，每消耗 <dmg>100</> 气血，增加 <dmg>{0}</> 层<TipGreenOutLine>尖刺</>"
"Effect_Desc_42201","造成 <dmg>{0}</> 倍{1}的伤害，本回合<TipGreenOutLine>尖刺</>层数不会被消耗"
"Effect_Desc_42202","造成 <dmg>{0}</> 倍{1}的伤害，本回合<TipGreenOutLine>尖刺</>的效果将会结算 <dmg>{2}</> 次"
"Effect_Desc_42203","造成 <dmg>{0}</> 倍{1}的伤害，额外造成当前拥有的<TipGreenOutLine>尖刺</>层数 <dmg>{2}</> 倍的伤害"
"Effect_Desc_42210","造成 <dmg>{0}</> 倍{1}的伤害，本回合你的拳掌可以克制兵器"
"Effect_Desc_42211","造成 <dmg>{0}</> 倍{1}的伤害，每次使用本绝学，伤害都会增加 <dmg>{2}%</> "
"Effect_Desc_42212","造成 <dmg>{0}</> 倍{1}的伤害，重新抽取普通招式"
"Effect_Desc_42213","造成 <dmg>{0}</> 倍{1}的伤害，根据对方本回合打出的暗器招式数量，为对方添加随机负面状态"
"Effect_Desc_42214","造成 <dmg>{0}</> 倍{1}的伤害，每有一门已激活绝学，额外造成 <dmg>{2}</> 倍兵器伤害"
"Effect_Desc_42215","对所有敌人造成 <dmg>{0}</> 倍{1}的伤害，每多命中 <dmg>1</> 人，伤害增加 <dmg>{2}%</> "
"Effect_Desc_42220","造成 <dmg>{0}</> 倍{1}的伤害，本回合额外打出 <dmg>{2}</> 个{3}"
"Effect_Desc_42221","造成 <dmg>{0}</> 倍{1}的伤害，本回合额外打出 <dmg>{2}</> 个{3}"
"Effect_Desc_42222","造成 <dmg>{0}</> 倍{1}的伤害，本回合额外打出 <dmg>{2}</> 个{3}"
"Effect_Desc_42223","造成 <dmg>{0}</> 倍{1}的伤害，本回合额外打出 <dmg>{2}</> 个{3}"
"Effect_Desc_42224","造成 <dmg>{0}</> 倍{1}的伤害，本回合额外打出 <dmg>{2}</> 个{3}"
"Effect_Desc_42225","对所有敌人造成 <dmg>{0}</> 倍{1}的伤害，本回合通过绝学每额外打出 <dmg>1</> 个招式，增加 <dmg>{2}</> 倍掌法伤害"
"Effect_Desc_42230","造成 <dmg>{0}</> 倍{1}的伤害，随机消除对方 <dmg>{2}</> 个招式，消除的招式可用于激活自身的绝学，每场战斗可使用 <dmg>{3}</> 次"
"Effect_Desc_42231","造成 <dmg>{0}</> 倍{1}的伤害，消除对方随机一类招式"
"Effect_Desc_42232","造成 <dmg>{0}</> 倍{1}的伤害，将对方随机一类打出的招式替换为另外一类招式"
"Effect_Desc_42233","造成 <dmg>{0}</> 倍{1}的伤害，将对方招式，与我方场上普通招式混合后平均分配"
"Effect_Desc_42234","造成 <dmg>{0}</> 倍{1}的伤害，场上普通招式数每比对方招式数多 <dmg>1</> ，绝学的伤害增加 <dmg>100%</> "
"Effect_Desc_42240","为自身施加 <dmg>{0}</> 层 <TipGreenOutLine>「斗转星移」</>"
"Effect_Desc_42241","为自身施加一层 <TipGreenOutLine>「移花接木」</>"
"Effect_Desc_42242","造成 <dmg>{0}</> 倍{1}的伤害，消除自身每种BUFF各 <dmg>{2}</> 层"
"Effect_Desc_42243","造成 <dmg>{0}</> 倍{1}的伤害，消除自身每种BUFF各 <dmg>{2}</> 层，每消除一层增加 <dmg>{3}%</> 的绝学伤害"
"Effect_Desc_42244","造成 <dmg>{0}</> 倍{1}的伤害，消除自身每种BUFF各 <dmg>{2}</> 层，每消除一层回复自身 <dmg>{3}</> 点气血 "
"Effect_Desc_42250","造成 <dmg>{0}</> 倍{1}的伤害，将随机 <dmg>{2}</> 个未打出招式变为 <dmg>1</> 个无招"
"Effect_Desc_42251","造成 <dmg>{0}</> 倍{1}的伤害，将场上随机 <dmg>{2}</> 个武技招式变为无招"
"Effect_Desc_42252","造成 <dmg>{0}</> 倍{1}的伤害，场上与未打出招式中每拥有 <dmg>1</> 个无招，伤害次数 <dmg>+1</>"
"Effect_Desc_42253","造成 <dmg>{0}</> 倍{1}的伤害，场上每拥有 <dmg>{2}</> 个兵器招式，在场上生成 <dmg>1</> 个无招"
"Effect_Desc_42254","对所有敌人造成 <dmg>{0}</> 倍{1}的伤害，根据场上招式数量，重新抽取招式"
"Effect_Desc_42260","道卫乾坤，生黎当离"
"Effect_Desc_42261","道乃神圣，庸俗当避"
"Effect_Desc_42262","道通四极，越限当除"
"Effect_Desc_42263","道知枯荣，破界当诛"
"Effect_Desc_42264","道见生灭，杀生归一"
#动物绝学,
"Effect_Desc_42300","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42301","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42302","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42303","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42304","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42305","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42306","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_42307","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_43000","造成 <dmg>{0}</> 倍{1}的伤害"
"Effect_Desc_43001","造成 <dmg>{0}</> 倍{1}的伤害，有几率使目标成为不全人"
# 绝学真气加成描述,
"skill_prop_xuan_yin_zhenqi_lv","\\n\\n<ZQ_XuanYin>「玄阴真气」加成</>"
"skill_prop_chun_yang_zhenqi_lv","\\n\\n<ZQ_ChunYang>「纯阳真气」加成</>"
"skill_prop_sha_du_zhenqi_lv","\\n\\n<ZQ_DuSha>「毒煞真气」加成</>"
"skill_prop_hun_yuan_zhenqi_lv","\\n\\n<ZQ_HunYuan>「混元真气」加成</>"
# 收集绝学,
"Skill_Learning","「{0}」\\n领悟中"
"Neigong_Learning","「{0}」领悟中"
"Learned_Skill","领悟绝学"
"Learned_NeiGong","领悟内功"
"Learned_Ability","领悟能力"
"Learned_Destiny","解锁天命"
"Unlock_SandBox","解锁沙盒模式"
"Learned_Argument","解锁嘴炮"
# 内功名称,
"neigong_name_190000","吐纳法"
"neigong_name_190007","寒冰诀"
"neigong_name_190009","灼心诀"
"neigong_name_190010","醉仙诀"
"neigong_name_190024","易筋经"
"neigong_name_190025","避毒诀"
"neigong_name_190026","玄火劫心功"
